ID,URL,ciudad,Zona,Barrio,Cordenada_latitud,cordenada_longitud,Tipo,piso,Estrato,Area_contruida,parqueaderos,Baños,Habitaciones,Precio
1564442091-9946,https://www.fincaraiz.com.co/apartamento-en-venta/cali/los_cristales-det-4680909.aspx,Cali,Zona Oeste,los cristales ,3.432060242,-76.53741455,Apartamento,,6,103,1,3,4,240000000
1564442091-9025,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-4716432.aspx,Cali,Zona Sur,valle del lili,3.41266799,-76.53749084,Apartamento,7,4,79,1,2,3,250000000
1564437042-4369,https://www.fincaraiz.com.co/casa-en-venta/cali/nueva_tequendama-det-4491799.aspx,Cali,Zona Sur,nueva tequendama ,3.418216467,-76.53751373,Casa,1,4,200,,4,4,550000000
1564437042-4889,https://www.fincaraiz.com.co/casa-en-venta/cali/nueva_tequendama-det-4328661.aspx,Cali,Zona Sur,nueva tequendama ,3.418216467,-76.53751373,Casa,1,4,200,,6,4,550000000
1564442091-7569,https://www.fincaraiz.com.co/apartamento-en-venta/cali/norte-det-4722762.aspx,Cali,Zona Oeste,norte  ,3.457463741,-76.53754425,Apartamento,,6,85,,2,2,400000000
1564437042-2725,https://www.fincaraiz.com.co/casa-en-venta/cali/acopi-det-4658133.aspx,Cali,Zona Norte,acopi  ,3.400721312,-76.53755951,Casa,,4,320,,5,7,650000000
1564437042-1669,https://www.fincaraiz.com.co/casa-en-venta/cali/alameda-det-4763785.aspx,Cali,Zona Centro,alameda  ,3.434032917,-76.53759003,Casa,3,3,200,1,5,9,295000000
1564437042-6002,https://www.fincaraiz.com.co/casa-en-venta/cali/santa_anita_sur_cali-det-1530982.aspx,Cali,Zona Sur,santa anita sur,3.403182745,-76.53760529,Casa,2,5,161,2,4,5,350000000
1564442091-11861,https://www.fincaraiz.com.co/apartamento-en-venta/cali/centenario-det-4587161.aspx,Cali,Zona Norte,centenario  ,3.453271151,-76.53762054,Apartamento,6,5,149,2,2,3,420000000
1564442091-6075,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4790215.aspx,Cali,Zona Sur,Santa Anita ,3.406756639,-76.53762817,Apartamento,4,4,61,1,2,2,185000000
